INFO 2024-08-21 14:54:50,011 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1724200176.9204116
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Program Files\Python312\Lib\secrets.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Program Files\Python312\Lib\fractions.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,331 autoreload File C:\Program Files\Python312\Lib\http\client.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,331 autoreload File C:\Program Files\Python312\Lib\collections\__init__.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,332 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\cryptography\__init__.py first seen with mtime 1724229424.570696
DEBUG 2024-08-21 14:54:50,334 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\VideoChatApp_backend\VideoChatApp_backend\urls.py first seen with mtime 1724206308.8172119
DEBUG 2024-08-21 14:54:50,335 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\files\move.py first seen with mtime 1724151663.8249967
DEBUG 2024-08-21 14:54:50,335 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1724151663.902217
DEBUG 2024-08-21 14:54:50,336 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1724151663.8968148
DEBUG 2024-08-21 14:54:50,336 autoreload File C:\Program Files\Python312\Lib\statistics.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,336 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\logger\_json.py first seen with mtime 1724229421.566352
DEBUG 2024-08-21 14:54:50,337 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\base.py first seen with mtime 1724151663.890813
DEBUG 2024-08-21 14:54:50,337 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1724151662.5641315
DEBUG 2024-08-21 14:54:50,337 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\daphne\server.py first seen with mtime 1724229425.4770038
DEBUG 2024-08-21 14:54:50,338 autoreload File C:\Program Files\Python312\Lib\email\mime\text.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,338 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\x25519.py first seen with mtime 1724229424.5565696
DEBUG 2024-08-21 14:54:50,341 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1724200176.9254425
DEBUG 2024-08-21 14:54:50,341 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1724151661.7792997
DEBUG 2024-08-21 14:54:50,342 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1724151663.9841785
DEBUG 2024-08-21 14:54:50,342 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1724151663.9718986
DEBUG 2024-08-21 14:54:50,342 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\logger\_observer.py first seen with mtime 1724229421.5683494
DEBUG 2024-08-21 14:54:50,343 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\service_identity\exceptions.py first seen with mtime 1724229424.7446704
DEBUG 2024-08-21 14:54:50,343 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1724151661.8981602
DEBUG 2024-08-21 14:54:50,343 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\attrs\__init__.py first seen with mtime 1724229420.5219605
DEBUG 2024-08-21 14:54:50,343 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1724151663.8179965
DEBUG 2024-08-21 14:54:50,344 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\cred\credentials.py first seen with mtime 1724229421.4981763
DEBUG 2024-08-21 14:54:50,344 autoreload File C:\Program Files\Python312\Lib\selectors.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,344 autoreload File C:\Program Files\Python312\Lib\base64.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,344 autoreload File C:\Program Files\Python312\Lib\encodings\__init__.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,345 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1724200176.7543733
DEBUG 2024-08-21 14:54:50,346 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\internet\__init__.py first seen with mtime 1724229421.5051823
DEBUG 2024-08-21 14:54:50,347 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\incremental\__init__.py first seen with mtime 1724229421.1797585
DEBUG 2024-08-21 14:54:50,348 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1724151661.7792997
DEBUG 2024-08-21 14:54:50,348 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1724151663.8342254
DEBUG 2024-08-21 14:54:50,349 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\files\images.py first seen with mtime 1724151663.8239968
DEBUG 2024-08-21 14:54:50,350 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\cryptography\hazmat\primitives\constant_time.py first seen with mtime 1724229424.5586958
DEBUG 2024-08-21 14:54:50,350 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1724151663.9648986
DEBUG 2024-08-21 14:54:50,350 autoreload File C:\Program Files\Python312\DLLs\_socket.pyd first seen with mtime 1717683902.0
DEBUG 2024-08-21 14:54:50,350 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\signing.py first seen with mtime 1724151663.8139968
DEBUG 2024-08-21 14:54:50,351 autoreload File C:\Program Files\Python312\Lib\asyncio\events.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,351 autoreload File C:\Program Files\Python312\Lib\keyword.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,352 autoreload File C:\Program Files\Python312\Lib\struct.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,352 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\autobahn\wamp\protocol.py first seen with mtime 1724229424.8318386
DEBUG 2024-08-21 14:54:50,353 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\internet\_idna.py first seen with mtime 1724229421.5071821
DEBUG 2024-08-21 14:54:50,354 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1724200176.927446
DEBUG 2024-08-21 14:54:50,354 autoreload File C:\Program Files\Python312\Lib\zipfile\__init__.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,355 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\autobahn\twisted\websocket.py first seen with mtime 1724229424.8206618
